date,PRCP,TAVG,TMAX,TMIN,bio_year,doy,photoperiod,cp,gdd,site,ao_30d,ao_90d,nao_30d,nao_90d,oni_30d,oni_90d
2025-12-09,0.1,8.899999999999999,12.2,5.6,2025,343,9.717200894674074,0.0,0.0,liestal,-0.6904666666666668,-0.20527777777777778,-0.6160333333333334,-0.48052222222222224,,
2025-12-10,0.5,7.0,9.3,4.7,2025,344,9.704319902221757,0.0,0.0,liestal,-0.6343333333333335,-0.19937777777777782,-0.575,-0.4737222222222221,,
2025-12-11,0.0,8.9,10.3,7.5,2025,345,9.692581590293399,0.0,0.0,liestal,-0.5508666666666667,-0.18907777777777782,-0.5311666666666667,-0.46216666666666656,,
2025-12-12,0.0,5.6499999999999995,10.1,1.2,2025,346,9.681994004293346,0.0,0.0,liestal,-0.4550000000000001,-0.17982222222222224,-0.5019333333333333,-0.4553444444444444,,
2025-12-13,0.0,5.55,9.0,2.1,2025,347,9.672564449722694,0.0,0.0,liestal,-0.3477666666666668,-0.15856666666666672,-0.46113333333333334,-0.4456666666666666,,
2025-12-14,0.0,3.6,6.2,1.0,2025,348,9.664299472233099,0.0,0.0,liestal,-0.23526666666666685,-0.12690000000000004,-0.3992666666666667,-0.43118888888888884,,
2025-12-15,0.0,2.9,5.5,0.3,2025,349,9.657204839601274,0.0,0.0,liestal,-0.13340000000000016,-0.09238888888888891,-0.3294666666666667,-0.4158888888888888,,
2025-12-16,0.0,2.1999999999999997,4.1,0.3,2025,350,9.651285525725132,0.0,0.0,liestal,-0.004166666666666844,-0.057766666666666695,-0.25693333333333335,-0.40139999999999987,,
2025-12-17,0.0,5.65,8.0,3.3,2025,351,9.646545696732101,0.0,0.0,liestal,0.1624999999999998,-0.015277777777777812,-0.17493333333333333,-0.3846999999999999,,
2025-12-18,0.0,5.45,9.1,1.8,2025,352,9.642988699278957,0.0,0.0,liestal,0.29283333333333317,0.021555555555555522,-0.11006666666666669,-0.36792222222222215,,
2025-12-19,0.4,4.55,7.2,1.9,2025,353,9.640617051110452,0.0,0.0,liestal,0.3949999999999998,0.04778888888888885,-0.06670000000000002,-0.3522666666666666,,
2025-12-20,0.0,8.75,11.9,5.6,2025,354,9.63943243393143,0.0,0.0,liestal,0.43836666666666646,0.051988888888888855,-0.0508666666666667,-0.3422333333333333,,
2025-12-21,0.0,4.7,7.2,2.2,2025,355,9.639435688633826,0.0,0.0,liestal,0.44773333333333315,0.05381111111111108,-0.05710000000000003,-0.3389777777777777,,
2025-12-22,0.0,2.3,4.3,0.3,2025,356,9.640626812906495,0.0,0.0,liestal,0.4556333333333332,0.06007777777777775,-0.061100000000000036,-0.3350333333333333,,
2025-12-23,0.0,2.0,2.9,1.1,2025,357,9.64300496124178,0.0,0.0,liestal,0.48179999999999984,0.06033333333333331,-0.05983333333333336,-0.3331555555555555,,
2025-12-24,0.0,2.75,3.7,1.8,2025,358,9.646568447338812,0.0,0.0,liestal,0.5201333333333332,0.05539999999999997,-0.06573333333333337,-0.3369222222222221,,
2025-12-25,0.0,0.7500000000000001,2.2,-0.7,2025,359,9.651314748889462,0.0,0.0,liestal,0.5413333333333331,0.04486666666666664,-0.09316666666666669,-0.347311111111111,,
2025-12-26,0.0,1.3,2.5,0.1,2025,360,9.657240514719065,0.0,0.0,liestal,0.5164999999999998,0.030666666666666634,-0.13993333333333338,-0.3639999999999999,,
2025-12-27,0.0,0.9,3.0,-1.2,2025,361,9.664341574240305,0.0,0.0,liestal,0.4731333333333332,0.01951111111111108,-0.20190000000000002,-0.3830111111111111,,
2025-12-28,0.0,-1.3,1.1,-3.7,2025,362,9.6726129491656,0.0,0.0,liestal,0.4075999999999998,0.001855555555555519,-0.27176666666666666,-0.40023333333333333,,
2025-12-29,0.0,-1.15,2.1,-4.4,2025,363,9.682048867410574,0.0,0.0,liestal,0.3556333333333332,-0.012700000000000032,-0.3458666666666667,-0.41183333333333333,,
2025-12-30,0.0,-1.75,1.2,-4.7,2025,364,9.692642779109256,0.0,0.0,liestal,0.30229999999999985,-0.024944444444444474,-0.43466666666666676,-0.42628888888888883,,
2025-12-31,0.0,-3.4499999999999997,0.7,-7.6,2025,365,9.70438737465039,0.0,0.0,liestal,0.25339999999999985,-0.03817777777777781,-0.46836666666666665,-0.4475444444444444,,
2026-01-01,0.00625,-2.95,1.8,-7.7,2025,1,9.717274604633847,0.0,0.0,liestal,0.2186666666666665,-0.05841111111111115,-0.4757666666666667,-0.47165555555555544,,
2026-01-02,0.0125,0.3,3.5,-2.9,2025,2,9.731295701636784,0.0,0.0,liestal,0.1509666666666665,-0.09583333333333337,-0.4864333333333334,-0.4940666666666666,,
2026-01-03,0.01875,-1.25,1.3,-3.8,2025,3,9.746441203670656,0.0,0.0,liestal,0.07329999999999984,-0.13960000000000003,-0.4915666666666667,-0.5129666666666666,,
2026-01-04,2.222368421052632,-1.7000000000000002,0.8,-4.2,2025,4,9.76270097920297,0.0,0.0,liestal,0.0239666666666665,-0.18244444444444446,-0.4861000000000001,-0.534811111111111,,
2026-01-05,1.7236842105263157,-4.05,-0.8,-7.3,2025,5,9.78006425361137,0.0,0.0,liestal,0.03153333333333317,-0.21872222222222223,-0.4826666666666667,-0.5617777777777777,,
2026-01-06,1.0776315789473685,-5.7,-2.5,-8.9,2025,6,9.798519636932623,0.0,0.0,liestal,0.09806666666666652,-0.24188888888888893,-0.47430000000000005,-0.5859666666666666,,
2026-01-07,1.3078947368421052,-4.95,-1.8,-8.1,2025,7,9.818055152765062,0.0,0.0,liestal,0.1602666666666665,-0.2569,-0.45660000000000006,-0.6057444444444444,,
2026-01-08,1.6776315789473684,2.05,6.7,-2.6,2025,8,9.838658268180401,0.0,0.0,liestal,0.15379999999999985,-0.27248888888888895,-0.44360000000000005,-0.625,,
2026-01-09,2.021052631578947,6.550000000000001,9.4,3.7,2025,9,9.860315924499043,0.0,0.0,liestal,0.06416666666666652,-0.2949333333333334,-0.44643333333333335,-0.6402222222222221,,
2026-01-10,1.5815789473684212,2.15,3.9,0.4,2025,10,9.883014568782677,0.0,0.0,liestal,-0.03940000000000014,-0.3134666666666667,-0.44743333333333335,-0.6472111111111111,,
2026-01-11,2.0500000000000003,0.1,1.1,-0.9,2025,11,9.906740185898276,0.0,0.0,liestal,-0.11663333333333346,-0.3236333333333334,-0.4332333333333334,-0.6456999999999999,,
2026-01-12,1.4815789473684209,1.5,4.0,-1.0,2025,12,9.93147833100935,0.0,0.0,liestal,-0.20036666666666686,-0.32707777777777786,-0.42826666666666674,-0.642022222222222,,
2026-01-13,1.2973684210526315,5.25,9.2,1.3,2025,13,9.95721416235278,0.0,0.0,liestal,-0.28926666666666684,-0.3251111111111112,-0.4392000000000001,-0.6322222222222222,,
2026-01-14,1.586842105263158,4.9,9.0,0.8,2025,14,9.983932474162883,0.0,0.0,liestal,-0.3516333333333335,-0.31812222222222225,-0.44820000000000004,-0.6163444444444444,,
2026-01-15,0.8842105263157896,7.75,11.3,4.2,2025,15,10.011617729608709,0.0,0.0,liestal,-0.4276333333333335,-0.31801111111111113,-0.4571666666666667,-0.5993777777777777,,
2026-01-16,1.8263157894736843,5.95,9.9,2.0,2025,16,10.040254093615463,0.0,0.0,liestal,-0.5787000000000001,-0.3295,-0.47503333333333336,-0.5808777777777777,,
2026-01-17,1.6552631578947368,4.8999999999999995,8.1,1.7,2025,17,10.069825465446497,0.0,0.0,liestal,-0.7016666666666668,-0.3314777777777778,-0.4802333333333334,-0.5596666666666666,,
2026-01-18,1.5907894736842103,1.35,2.2,0.5,2025,18,10.100315510928647,0.0,0.0,liestal,-0.8051333333333335,-0.32824444444444445,-0.47186666666666677,-0.5362666666666667,,
2026-01-19,1.681578947368421,1.5499999999999998,4.8,-1.7,2025,19,10.131707694210151,0.0,0.0,liestal,-0.8918666666666668,-0.3342555555555556,-0.45136666666666675,-0.5145555555555555,,
2026-01-20,0.9578947368421052,1.7500000000000002,5.4,-1.9,2025,20,10.163985308947604,0.0,0.0,liestal,-1.0026666666666668,-0.3482777777777778,-0.41116666666666674,-0.4904666666666666,,
2026-01-21,1.1855263157894735,2.5999999999999996,7.1,-1.9,2025,21,10.197131508825594,0.0,0.0,liestal,-1.1361666666666668,-0.36877777777777776,-0.3811333333333334,-0.4655777777777777,,
2026-01-22,2.1092105263157896,0.25,4.0,-3.5,2025,22,10.231129337320379,0.0,0.0,liestal,-1.2428333333333335,-0.38833333333333336,-0.3696333333333334,-0.44602222222222215,,
2026-01-23,2.111842105263158,3.05,6.0,0.1,2025,23,10.265961756626588,0.0,0.0,liestal,-1.3453000000000004,-0.42144444444444445,-0.36546666666666666,-0.43512222222222213,,
2026-01-24,1.4723684210526315,1.2000000000000002,4.2,-1.8,2025,24,10.301611675673758,0.0,0.0,liestal,-1.435066666666667,-0.4646555555555556,-0.35140000000000005,-0.4244111111111111,,
2026-01-25,1.063157894736842,3.75,6.5,1.0,2025,25,10.33806197716728,0.0,0.0,liestal,-1.501766666666667,-0.5082555555555556,-0.3258333333333334,-0.4100888888888889,,
2026-01-26,1.8657894736842109,3.6,7.4,-0.2,2025,26,10.375295543596117,0.0,0.0,liestal,-1.5910333333333333,-0.5520777777777778,-0.2933333333333334,-0.3927777777777777,,
2026-01-27,1.989473684210526,2.5,5.4,-0.4,2025,27,10.413295282157145,0.0,0.0,liestal,-1.6878,-0.5989666666666666,-0.25523333333333337,-0.3761888888888888,,
2026-01-28,1.4578947368421051,3.45,4.7,2.2,2025,28,10.452044148553504,0.0,0.0,liestal,-1.7825666666666669,-0.6382888888888889,-0.2272666666666667,-0.3646222222222222,,
2026-01-29,1.1776315789473684,3.6,6.5,0.7,2025,29,10.49152516963145,0.0,0.0,liestal,-1.8736000000000002,-0.6738777777777778,-0.20330000000000006,-0.35748888888888886,,
2026-01-30,1.361842105263158,1.65,3.8,-0.5,2025,30,10.531721464827188,0.0,0.0,liestal,-1.9515,-0.7142000000000001,-0.1793666666666667,-0.3542888888888888,,
2026-01-31,1.0921052631578947,4.35,6.8,1.9,2025,31,10.572616266401777,0.0,0.0,liestal,-2.003,-0.7588,-0.15640000000000004,-0.35648888888888886,,
2026-02-01,0.2,4.35,7.0,1.7,2025,32,10.614192938448449,0.0,0.0,liestal,,,,,,
2026-02-02,1.2,4.75,8.0,1.5,2025,33,10.656434994662716,0.0,0.0,liestal,,,,,,
2026-02-03,4.8,5.8999999999999995,8.7,3.1,2025,34,10.699326114871104,0.0,0.0,liestal,,,,,,
2026-02-04,0.0,3.1,6.5,-0.3,2025,35,10.742850160319637,0.0,0.0,liestal,,,,,,
2026-02-05,0.0,4.2,8.6,-0.2,2025,36,10.786991187727889,0.0,0.0,liestal,,,,,,
2026-02-06,5.4,6.35,10.5,2.2,2025,37,10.831733462118873,0.0,0.0,liestal,,,,,,
2026-02-07,0.0,7.1499999999999995,11.7,2.6,2025,38,10.877061468439027,0.0,0.0,liestal,,,,,,
2026-02-08,0.0,4.6,6.3,2.9,2025,39,10.922959921986092,0.0,0.0,liestal,,,,,,
2026-02-09,0.0,5.5,8.2,2.8,2025,40,10.969413777665983,0.0,0.0,liestal,,,,,,
2026-02-10,8.7,5.75,9.5,2.0,2025,41,11.016408238102503,0.0,0.0,liestal,,,,,,
2026-02-11,19.8,8.85,10.0,7.7,2025,42,11.063928760626254,0.0,0.0,liestal,,,,,,
2026-02-12,25.1,7.6,8.7,6.5,2025,43,11.111961063171204,0.0,0.0,liestal,,,,,,
2026-02-13,0.8,8.3,11.4,5.2,2025,44,11.160491129109172,0.0,0.0,liestal,,,,,,
2026-02-14,5.4,3.6,6.2,1.0,2025,45,11.209505211053875,0.0,0.0,liestal,,,,,,
2026-02-15,5.0,2.9,5.5,0.3,2025,46,11.258989833667444,0.0,0.0,liestal,,,,,,
2026-02-16,26.4,5.25,7.5,3.0,2025,47,11.308931795503087,0.0,0.0,liestal,,,,,,
2026-02-17,10.7,4.6,7.2,2.0,2025,48,11.35931816991826,0.0,0.0,liestal,,,,,,
2026-02-18,4.6,1.45,3.1,-0.2,2025,49,11.410136305093033,0.0,0.0,liestal,,,,,,
2026-02-19,10.3,5.05,8.1,2.0,2025,50,11.461373823188472,0.0,0.0,liestal,,,,,,
2026-02-20,0.9,5.8,7.5,4.1,2025,51,11.513018618679839,0.0,0.0,liestal,,,,,,
2026-02-21,2.6,8.1,10.0,6.2,2025,52,11.565058855899085,0.0,0.0,liestal,,,,,,
2025-09-01,0.1,18.5,21.0,16.0,2025,244,14.463300750870802,0.0,0.0,vancouver,0.04313333333333315,0.48915555555555557,0.12736666666666663,0.24086666666666673,-0.3891935483870968,-0.2698
2025-09-02,0.0,18.25,22.9,13.6,2025,245,14.398780301541093,0.0,0.0,vancouver,0.04959999999999982,0.4731444444444444,0.08086666666666663,0.23972222222222228,,
2025-09-03,0.0,20.5,24.4,16.6,2025,246,14.334243888538362,0.0,0.0,vancouver,0.056533333333333144,0.4561111111111111,0.02999999999999997,0.23162222222222226,,
2025-09-04,0.0,18.799999999999997,22.9,14.7,2025,247,14.269702580711323,0.0,0.0,vancouver,0.04963333333333315,0.433911111111111,-0.02500000000000003,0.21693333333333342,,
